=== INVENTÁRIO DE SOFTWARE - DEBIAN 13 ===
Gerado em: qua 01 jul 2026 00:20:02 -03
=========================================

[1. APT / SYSTEM PACKAGES]
Origem: APT | Pacote: libc6 | Versão: 2.41-12+deb13u3
Origem: APT | Pacote: libc6-dev | Versão: 2.41-12+deb13u3
Origem: APT | Pacote: libcaca0 | Versão: 0.99.beta20-5
Origem: APT | Pacote: libcairo-gobject2 | Versão: 1.18.4-1+b1
Origem: APT | Pacote: libcairo2 | Versão: 1.18.4-1+b1
Origem: APT | Pacote: libcap-ng0 | Versão: 0.8.5-4+b1
Origem: APT | Pacote: libcap2 | Versão: 1:2.75-10+deb13u1+b1
Origem: APT | Pacote: libcap2-bin | Versão: 1:2.75-10+deb13u1+b1
Origem: APT | Pacote: libcbor0.10 | Versão: 0.10.2-2
Origem: APT | Pacote: libcc1-0 | Versão: 14.2.0-19
Origem: APT | Pacote: libcdio-cdda2t64 | Versão: 10.2+2.0.2-1+b1
Origem: APT | Pacote: libcdio-paranoia2t64 | Versão: 10.2+2.0.2-1+b1
Origem: APT | Pacote: libcdio19t64 | Versão: 2.2.0-4.1~deb13u1
Origem: APT | Pacote: libcdparanoia0 | Versão: 3.10.2+debian-14+b1
Origem: APT | Pacote: libchromaprint1 | Versão: 1.5.1-7
Origem: APT | Pacote: libcjson1 | Versão: 1.7.18-3.1+deb13u1
Origem: APT | Pacote: libclone-perl | Versão: 0.47-1+b1
Origem: APT | Pacote: libcloudproviders0 | Versão: 0.3.6-2
Origem: APT | Pacote: libclucene-contribs1t64 | Versão: 2.3.3.4+dfsg-1.2+b1
Origem: APT | Pacote: libclucene-core1t64 | Versão: 2.3.3.4+dfsg-1.2+b1
Origem: APT | Pacote: libcmis-0.6-6t64 | Versão: 0.6.2-2.1+b1
Origem: APT | Pacote: libcodec2-1.2 | Versão: 1.2.0-3
Origem: APT | Pacote: libcolord2 | Versão: 1.4.7-3
Origem: APT | Pacote: libcom-err2 | Versão: 1.47.2-3+b11
Origem: APT | Pacote: libcpuinfo0 | Versão: 0.0~git20250327.39ea79a-1
Origem: APT | Pacote: libcrypt-dev | Versão: 1:4.4.38-1
Origem: APT | Pacote: libcrypt1 | Versão: 1:4.4.38-1
Origem: APT | Pacote: libctf-nobfd0 | Versão: 2.44-3
Origem: APT | Pacote: libctf0 | Versão: 2.44-3
Origem: APT | Pacote: libcuda1 | Versão: 610.43.02-1
Origem: APT | Pacote: libcudadebugger1 | Versão: 610.43.02-1
Origem: APT | Pacote: libcups2t64 | Versão: 2.4.10-3+deb13u2
Origem: APT | Pacote: libcurl3t64-gnutls | Versão: 8.14.1-2+deb13u3
Origem: APT | Pacote: libcurl4t64 | Versão: 8.14.1-2+deb13u3
Origem: APT | Pacote: libdata-dump-perl | Versão: 1.25-1
Origem: APT | Pacote: libdatrie1 | Versão: 0.2.13-3+b1
Origem: APT | Pacote: libdav1d7 | Versão: 1.5.1-1
Origem: APT | Pacote: libdb5.3t64 | Versão: 5.3.28+dfsg2-9
Origem: APT | Pacote: libdbus-1-3 | Versão: 1.16.2-2
Origem: APT | Pacote: libdc1394-25 | Versão: 2.2.6-5
Origem: APT | Pacote: libdca0 | Versão: 0.0.7-2+b2
Origem: APT | Pacote: libdconf1 | Versão: 0.40.0-5
Origem: APT | Pacote: libde265-0 | Versão: 1.0.15-1+b3
Origem: APT | Pacote: libdebconfclient0 | Versão: 0.280
Origem: APT | Pacote: libdecor-0-0 | Versão: 0.2.2-2
Origem: APT | Pacote: libdecor-0-plugin-1-gtk | Versão: 0.2.2-2
Origem: APT | Pacote: libdeflate0 | Versão: 1.23-2
Origem: APT | Pacote: libdevmapper1.02.1 | Versão: 2:1.02.205-2
Origem: APT | Pacote: libdjvulibre-text | Versão: 3.5.28-2.2
Origem: APT | Pacote: libdjvulibre21 | Versão: 3.5.28-2.2
Origem: APT | Pacote: libdnnl3.6 | Versão: 3.7.2+ds-2
Origem: APT | Pacote: libdpkg-perl | Versão: 1.22.22
Origem: APT | Pacote: libdrm-amdgpu1 | Versão: 2.4.124-2
Origem: APT | Pacote: libdrm-common | Versão: 2.4.124-2
Origem: APT | Pacote: libdrm-intel1 | Versão: 2.4.124-2
Origem: APT | Pacote: libdrm2 | Versão: 2.4.124-2
