=== INVENTÁRIO DE SOFTWARE - AMDY (OMARCHY/ARCH) ===
Gerado em: Wed Jul  1 12:22:58 AM -03 2026
===================================================

[1. PACMAN OFFICIAL PACKAGES]
Origem: Pacman (Oficial) | Pacote: e2fsprogs | Versão: 1.47.4-1
Origem: Pacman (Oficial) | Pacote: ebook-tools | Versão: 0.2.2-9
Origem: Pacman (Oficial) | Pacote: efibootmgr | Versão: 18-4
Origem: Pacman (Oficial) | Pacote: efivar | Versão: 39-2
Origem: Pacman (Oficial) | Pacote: egl-gbm | Versão: 1.1.3-1
Origem: Pacman (Oficial) | Pacote: egl-wayland | Versão: 4:1.1.21-1
Origem: Pacman (Oficial) | Pacote: egl-wayland2 | Versão: 1.0.1-1
Origem: Pacman (Oficial) | Pacote: egl-x11 | Versão: 1.0.5-1
Origem: Pacman (Oficial) | Pacote: eglexternalplatform | Versão: 1.2.1-1
Origem: Pacman (Oficial) | Pacote: electron39 | Versão: 39.8.10-1
Origem: Pacman (Oficial) | Pacote: elephant | Versão: 2.21.0-1
Origem: Pacman (Oficial) | Pacote: elephant-bluetooth | Versão: 2.21.0-1
Origem: Pacman (Oficial) | Pacote: elephant-calc | Versão: 2.21.0-1
Origem: Pacman (Oficial) | Pacote: elephant-clipboard | Versão: 2.21.0-1
Origem: Pacman (Oficial) | Pacote: elephant-desktopapplications | Versão: 2.21.0-1
Origem: Pacman (Oficial) | Pacote: elephant-files | Versão: 2.21.0-1
Origem: Pacman (Oficial) | Pacote: elephant-menus | Versão: 2.21.0-1
Origem: Pacman (Oficial) | Pacote: elephant-providerlist | Versão: 2.21.0-1
Origem: Pacman (Oficial) | Pacote: elephant-runner | Versão: 2.21.0-1
Origem: Pacman (Oficial) | Pacote: elephant-symbols | Versão: 2.21.0-1
Origem: Pacman (Oficial) | Pacote: elephant-todo | Versão: 2.21.0-1
Origem: Pacman (Oficial) | Pacote: elephant-unicode | Versão: 2.21.0-1
Origem: Pacman (Oficial) | Pacote: elephant-websearch | Versão: 2.21.0-1
Origem: Pacman (Oficial) | Pacote: elfutils | Versão: 0.195-1
Origem: Pacman (Oficial) | Pacote: ell | Versão: 0.83-1
Origem: Pacman (Oficial) | Pacote: enchant | Versão: 2.8.15-2
Origem: Pacman (Oficial) | Pacote: evince | Versão: 1:48.4-1
Origem: Pacman (Oficial) | Pacote: exempi | Versão: 2.6.6-3
